Simulation_ID,S0,K,T,r,sigma_v,Up-and-In_Call,Up-and-Out_Call,European_Lookback_Call,Asian_Call,Double_Barrier_Call,Delta,Gamma,Theta,Vega,Rho
870,149.064181,101.280292,0.717967,0.044228,0.231522,52.611627,0.000000,52.636598,50.179780,0.000000,0.999960,0.000002,-4.341406,0.010841,70.438416
871,78.132920,75.018588,0.825506,0.018665,0.118013,0.000000,4.305447,4.555816,3.709162,0.000000,0.999631,0.000015,-1.383804,0.026772,60.951301
872,74.478450,120.139328,0.614694,0.025725,0.189681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000360,0.000093,-0.011594,0.064048,0.015638
873,55.427171,100.273073,1.175984,0.016355,0.208088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000413,0.000090,-0.006503,0.066288,0.024643
874,94.365595,113.557972,0.389158,0.018726,0.200004,0.027540,0.000000,0.074046,0.000430,0.000000,0.023151,0.004561,-0.657930,2.724354,0.810256
875,115.053941,101.414658,1.824843,0.032295,0.287471,20.851337,0.000000,20.851504,17.233261,0.000000,0.999729,0.000005,-3.092296,0.051502,174.389344
876,148.716558,80.567325,1.509442,0.037541,0.212127,76.843624,0.000000,76.852250,72.464992,0.000000,0.999957,0.000001,-2.859639,0.016564,114.900466
877,98.382905,96.422451,1.649423,0.037921,0.201020,0.013966,8.290027,8.340788,5.112537,8.290027,0.999662,0.000007,-3.438443,0.046210,149.318256
878,70.066232,123.483771,0.957950,0.021787,0.261289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000492,0.000095,-0.011420,0.094168,0.030746
879,104.957145,110.381399,0.527481,0.026943,0.235548,1.518531,0.000000,2.396994,0.667182,0.000000,0.187481,0.018142,-2.518131,14.286229,9.611745
880,145.091479,100.910737,1.007771,0.022902,0.280057,47.326161,0.000000,47.519964,45.668223,0.000000,0.999872,0.000003,-2.264001,0.030415,99.351415
881,141.332084,82.829963,0.431858,0.035007,0.257974,60.649369,0.000000,60.817489,59.565197,0.000000,0.999995,0.000000,-2.856679,0.001424,35.233698
882,145.126816,80.232585,0.522526,0.019687,0.161015,66.210226,0.000000,66.900555,65.472133,0.000000,0.999999,0.000000,-1.563468,0.000463,41.494491
883,119.560607,84.266213,0.338901,0.041529,0.115176,36.851418,0.000000,37.017200,36.013411,0.000000,0.999984,0.000002,-3.451757,0.002851,28.158072
884,131.410015,76.755377,0.325260,0.028039,0.279476,55.768297,0.000000,56.219830,55.162673,0.000000,1.000000,0.000000,-2.132642,0.000013,24.738770
885,132.361488,94.865947,0.306807,0.026722,0.191328,38.539201,0.000000,38.967339,38.001263,0.000000,0.999986,0.000002,-2.515476,0.002577,28.867288
886,119.619557,115.988964,0.643240,0.044965,0.140274,7.125596,0.000000,7.155248,5.374036,0.000000,0.999641,0.000012,-5.073426,0.035870,72.448363
887,127.339849,128.711315,1.593508,0.041399,0.253560,7.253712,0.000000,7.253712,2.943861,0.000000,0.999642,0.000006,-4.993188,0.060028,191.901361
888,85.681452,101.597211,1.996187,0.047143,0.172383,0.645064,0.306896,1.019655,0.246717,0.000000,0.102131,0.015874,-0.701700,15.776292,16.205578
889,73.282429,95.462204,1.432889,0.026155,0.237389,0.000000,0.061129,0.086815,0.003415,0.000000,0.022742,0.003273,-0.217855,3.405447,2.171677
890,120.019824,87.611151,1.116052,0.043757,0.184073,38.390846,0.000000,38.439653,35.401675,0.000000,0.999865,0.000004,-3.654706,0.027466,93.095829
891,60.809192,75.121426,0.211326,0.036338,0.158676,0.000000,0.000000,0.002384,0.000000,0.000000,0.004092,0.002099,-0.144012,0.304589,0.051053
892,107.034233,90.684093,0.806720,0.044408,0.247699,15.489263,4.783133,20.276869,18.295496,4.783133,0.999797,0.000009,-3.889713,0.027136,70.561436
